Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released
Pentium 4 HT 560,Prescott,1  / 2,3.6 GHz,Socket 775,90 nm,N/A,115 W,"Jun 21st, 2004"
Pentium 4 HT 570,Prescott,1  / 2,3.8 GHz,Socket 775,90 nm,N/A,115 W,"Jun 21st, 2004"
Pentium 4 HT EE 3.40,Gallatin,1  / 2,3.4 GHz,Socket 478,130 nm,2MB,110 W,"Jun 21st, 2004"
Pentium 4 HT EE 3.40,Gallatin,1  / 2,3.4 GHz,Socket 775,130 nm,2MB,110 W,"Feb 2nd, 2004"
Pentium 4 HT EE 3.46,Gallatin,1  / 2,3.46 GHz,Socket 775,130 nm,2MB,110 W,"Oct 31st, 2004"
Pentium M 715,Dothan,1 ,1500 MHz,Socket 479,90 nm,N/A,21 W,"Jun 23rd, 2004"
Pentium M 725,Dothan,1 ,1600 MHz,Socket 479,90 nm,N/A,21 W,"Jun 23rd, 2004"
Pentium M 735,Dothan,1 ,1700 MHz,Socket 479,90 nm,N/A,21 W,"May 10th, 2004"
Pentium M 745,Dothan,1 ,1800 MHz,Socket 479,90 nm,N/A,21 W,"May 10th, 2004"
Pentium M 755,Dothan,1 ,2000 MHz,Socket 479,90 nm,N/A,21 W,"May 10th, 2004"
Pentium M 765,Dothan,1 ,2.1 GHz,Socket 479,90 nm,N/A,21 W,"Oct 20th, 2004"
Xeon 2.8,Nocona,1 ,2.8 GHz,Socket 604,90 nm,N/A,135 W,"Jun 28th, 2004"
Xeon 3.0,Nocona,1 ,3 GHz,Socket 604,90 nm,N/A,135 W,"Jun 28th, 2004"
Xeon 3.2,Nocona,1 ,3.2 GHz,Socket 604,90 nm,N/A,135 W,"Jun 28th, 2004"
Xeon 3.20,Gallatin,1 ,3.2 GHz,Socket 604,130 nm,2MB,97 W,"Feb 1st, 2004"
Xeon 3.4,Nocona,1 ,3.4 GHz,Socket 604,90 nm,N/A,135 W,"Jun 28th, 2004"
Xeon 3.6,Nocona,1 ,3.6 GHz,Socket 604,90 nm,N/A,135 W,"Jun 28th, 2004"
Celeron 2.30,Northwood,1 ,2.3 GHz,Socket 478,130 nm,N/A,73 W,"Mar 31st, 2003"
Celeron 2.40,Northwood,1 ,2.4 GHz,Socket 478,130 nm,N/A,73 W,"Mar 31st, 2003"
Celeron 2.60,Northwood,1 ,2.6 GHz,Socket 478,130 nm,N/A,73 W,"Jun 25th, 2003"
Celeron 2.70,Northwood,1 ,2.7 GHz,Socket 478,130 nm,N/A,73 W,"Sep 24th, 2003"
Celeron 2.80,Northwood,1 ,2.8 GHz,Socket 478,130 nm,N/A,73 W,"Nov 3rd, 2003"
Mobile Pentium 4 2.40,Northwood,1  / 2,2.4 GHz,Socket 478,130 nm,N/A,60 W,"Jun 11th, 2003"
Mobile Pentium 4 2.66,Northwood,1  / 2,2.667 GHz,Socket 478,130 nm,N/A,66 W,"Jun 11th, 2003"
Mobile Pentium 4 2.80,Northwood,1  / 2,2.8 GHz,Socket 478,130 nm,N/A,68 W,"Jun 11th, 2003"
Mobile Pentium 4 3.06,Northwood,1  / 2,3.067 GHz,Socket 478,130 nm,N/A,70 W,"Jun 11th, 2003"
Mobile Pentium 4 HT 2.66,Northwood,1  / 2,2.667 GHz,Socket 478,130 nm,N/A,66 W,"Sep 23rd, 2003"
Mobile Pentium 4 HT 2.80,Northwood,1  / 2,2.8 GHz,Socket 478,130 nm,N/A,68 W,"Sep 23rd, 2003"
Mobile Pentium 4 HT 3.06,Northwood,1  / 2,3.067 GHz,Socket 478,130 nm,N/A,70 W,"Sep 23rd, 2003"
Mobile Pentium 4 HT 3.20,Northwood,1  / 2,3.2 GHz,Socket 478,130 nm,N/A,76 W,"Sep 23rd, 2003"
Pentium 4 HT 2.40,Northwood,1  / 2,2.4 GHz,Socket 478,130 nm,N/A,66 W,"May 21st, 2003"
Pentium 4 HT 2.60,Northwood,1  / 2,2.6 GHz,Socket 478,130 nm,N/A,69 W,"May 21st, 2003"
Pentium 4 HT 2.80,Northwood,1  / 2,2.8 GHz,Socket 478,130 nm,N/A,70 W,"May 21st, 2003"
